host,window_start,outbound_bytes,inbound_bytes,upload_download_ratio,connection_count,unique_dst_ip,unique_dst_port,new_dst_ip_count,rare_dst_ip_count,avg_duration,max_duration,failed_connection_ratio,dns_query_count,unique_domain_count,night_activity_ratio
172.20.69.1,2026-08-26 00:15:00,78,0,1.0,1,1,1,1,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 00:25:00,78,0,1.0,2,1,1,0,0,0.0,0.0,1.0,3,2,1
172.20.69.1,2026-08-26 00:30:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 00:35:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 00:40:00,78,0,1.0,1,1,1,0,0,0.001,0.001,1.0,2,1,1
172.20.69.1,2026-08-26 00:50:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 00:55:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 01:00:00,78,0,1.0,2,1,1,0,0,0.0,0.0,1.0,3,2,1
172.20.69.1,2026-08-26 01:05:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 01:15:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 01:20:00,78,0,1.0,1,1,1,0,0,0.001,0.001,1.0,2,1,1
172.20.69.1,2026-08-26 01:25:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 01:30:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 01:40:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 01:45:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 01:50:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 01:55:00,78,0,1.0,1,1,1,0,0,0.001,0.001,1.0,2,1,1
172.20.69.1,2026-08-26 02:00:00,78,0,1.0,2,1,1,0,0,0.0,0.0,1.0,3,2,1
172.20.69.1,2026-08-26 02:10:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 02:15:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 02:20:00,78,0,1.0,1,1,1,0,0,0.001,0.001,1.0,2,1,1
172.20.69.1,2026-08-26 02:25:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 02:30:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 02:40:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 02:45:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 02:50:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 02:55:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 03:00:00,78,0,1.0,2,1,1,0,0,0.0,0.001,1.0,3,2,1
172.20.69.1,2026-08-26 03:10:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 03:15:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
172.20.69.1,2026-08-26 03:20:00,78,0,1.0,1,1,1,0,0,0.0,0.0,1.0,2,1,1
