host,window_start,risk_score,if_anomaly,level,reasons
172.20.69.180,2026-08-26 00:15:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 00:20:00,75,0.602,HIGH,"大量外传至全新目标(>100MB)+35,上传/下载比超该小时P99+18,罕见单/双连接大外传+10"
172.20.69.180,2026-08-26 00:25:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 00:30:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 00:35:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 00:45:00,17,0.59,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 00:50:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 00:55:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 01:00:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 01:10:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 01:15:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 01:20:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 01:25:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 01:30:00,25,0.577,LOW,"出现新目标但仅小流量+5,外传量超该小时历史P99+8"
172.20.69.180,2026-08-26 01:35:00,17,0.588,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 01:40:00,17,0.588,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 01:45:00,16,0.569,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 01:50:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 01:55:00,17,0.583,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 02:00:00,17,0.594,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 02:05:00,15,0.52,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 02:10:00,17,0.588,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 02:15:00,16,0.568,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 02:20:00,17,0.588,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 02:25:00,35,0.598,LOW,"出现新目标但仅小流量+5,外传量超该小时历史P99+8,上传/下载比超该小时P99+10"
172.20.69.180,2026-08-26 02:30:00,17,0.577,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 02:35:00,15,0.514,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 02:40:00,17,0.579,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 02:45:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 02:50:00,17,0.616,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 02:55:00,16,0.527,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 03:00:00,17,0.582,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 03:05:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 03:10:00,16,0.564,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 03:15:00,17,0.593,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 03:20:00,17,0.588,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 03:25:00,15,0.518,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 03:30:00,35,0.595,LOW,"出现新目标但仅小流量+5,外传量超该小时历史P99+8,上传/下载比超该小时P99+10"
172.20.69.180,2026-08-26 03:35:00,16,0.568,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 03:40:00,17,0.582,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 03:45:00,17,0.587,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 03:50:00,17,0.59,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 03:55:00,16,0.526,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 04:00:00,16,0.57,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 04:05:00,17,0.588,LOW,出现新目标但仅小流量+5
172.20.69.180,2026-08-26 04:10:00,17,0.588,LOW,出现新目标但仅小流量+5
